date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:56:37	98/98	---MCZ	200	added ('OK')	text/plain	date:Mon,%2018%20Mar%202024%2019:56:37%20GMT	https://epss1.odoo.com/robots.txt		(from )
21:56:37	23793/23793	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2019:56:38%20GMT	https://epss1.odoo.com/	D:/Marwan/sssss/Ep%20Sound/epss1.odoo.com/index.html	(from )
21:56:37	2594/2594	---M--	200	added ('OK')	image/webp	etag:%2265f60b26-a22%22	https://epss1.odoo.com/web/image/website/1/logo?unique=12a4e44	D:/Marwan/sssss/Ep%20Sound/epss1.odoo.com/web/image/website/1/Ep%20Sounds4f8c.webp	(from https://epss1.odoo.com/)
21:56:38	2594/2594	---M--	200	added ('OK')	image/webp	date:Sat,%2016%20Mar%202024%2021:12:06%20GMT	https://epss1.odoo.com/web/image/website/1/logo/300x300?unique=12a4e44	D:/Marwan/sssss/Ep%20Sound/epss1.odoo.com/web/image/website/1/logo/Ep%20Sounds4f8c.webp	(from https://epss1.odoo.com/)
21:56:38	18640/18640	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2265f70b3b-48d0%22	https://epss1.odoo.com/web/image/website/1/favicon?unique=12a4e44	D:/Marwan/sssss/Ep%20Sound/epss1.odoo.com/web/image/website/1/Ep%20Sounds4f8c.ico	(from https://epss1.odoo.com/)
21:56:38	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%2265b397a0-12d68%22	https://epss1.odoo.com/web/static/src/libs/fontawesome/fonts/fontawesome-webfont.woff2?v=4.7.0	D:/Marwan/sssss/Ep%20Sound/epss1.odoo.com/web/static/src/libs/fontawesome/fonts/fontawesome-webfont3e6e.woff2	(from https://epss1.odoo.com/)
21:56:38	692904/692904	---MCZ	200	added ('OK')	text/css	etag:W/%2265f84a65-a92a8%22	https://epss1.odoo.com/web/assets/1/c227b4f/web.assets_frontend.min.css	D:/Marwan/sssss/Ep%20Sound/epss1.odoo.com/web/assets/1/c227b4f/web.assets_frontend.min.css	(from https://epss1.odoo.com/)
21:56:38	19821/19821	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265f84a64-4d6d%22	https://epss1.odoo.com/web/assets/1/2b31a4e/web.assets_frontend_minimal.min.js	D:/Marwan/sssss/Ep%20Sound/epss1.odoo.com/web/assets/1/2b31a4e/web.assets_frontend_minimal.min.js	(from https://epss1.odoo.com/)
21:56:39	282/282	---M--	303	error ('SEE%20OTHER')	text/html	date:Mon,%2018%20Mar%202024%2019:56:39%20GMT	https://epss1.odoo.com/website/social/facebook	D:/Marwan/sssss/Ep%20Sound/epss1.odoo.com/website/social/facebook	(from https://epss1.odoo.com/)
21:56:39	270/270	---M--	303	error ('SEE%20OTHER')	text/html	date:Mon,%2018%20Mar%202024%2019:56:39%20GMT	https://epss1.odoo.com/website/social/twitter	D:/Marwan/sssss/Ep%20Sound/epss1.odoo.com/website/social/twitter	(from https://epss1.odoo.com/)
